Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
62,BHAGAWANGOLA,HUMAYUN KABIR,Aam Janata Unnayan party,5965,lost,-100032
62,BHAGAWANGOLA,OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),1423,lost,-104574
62,BHAGAWANGOLA,EMON SAYED,Independent,616,lost,-105381
62,BHAGAWANGOLA,MD. AKRAMUL HOQUE,Independent,517,lost,-105480
62,BHAGAWANGOLA,MD. NURUL ISLAM,Vikas India Party,479,lost,-105518
62,BHAGAWANGOLA,NOTA,None of the Above,1085,,-104912
63,RANINAGAR,JULFIKAR ALI,Indian National Congress,79423,won,+ 2701
63,RANINAGAR,ABDUL SOUMIK HOSSAIN,All India Trinamool Congress,76722,lost,-2701
63,RANINAGAR,JAMAL HOSSAIN,Communist Party of India (Marxist),48587,lost,-30836
63,RANINAGAR,RANAPRATAP SINGHA ROY,Bharatiya Janata Party,22728,lost,-56695
63,RANINAGAR,YASSER HAIDAR,Aam Janata Unnayan party,2566,lost,-76857
63,RANINAGAR,MOSTOFA MONJUR ELAHI,Independent,1190,lost,-78233
63,RANINAGAR,SUMIT NATH,Independent,1071,lost,-78352
63,RANINAGAR,MST MASUARA KHATUN,Independent,773,lost,-78650
63,RANINAGAR,SHYAMAL KRISHNA MONDAL,Socialist Unity Centre Of India (COMMUNIST),669,lost,-78754
63,RANINAGAR,JULFIKKAR ALI,Independent,454,lost,-78969
63,RANINAGAR,JULFIKAR ALI,Independent,356,lost,-79067
63,RANINAGAR,KHALID HOSSAIN,Independent,184,lost,-79239
63,RANINAGAR,ANOYAR HOSSAIN,Independent,144,lost,-79279
63,RANINAGAR,ABDUL ALIM SK,Independent,95,lost,-79328
63,RANINAGAR,NOTA,None of the Above,2240,,-77183
64,MURSHIDABAD,GOURI SANKAR GHOSH,Bharatiya Janata Party,114443,won,+ 31521
64,MURSHIDABAD,SHAONI SINGHA ROY,All India Trinamool Congress,82922,lost,-31521
64,MURSHIDABAD,ALI SIDDIQUE,Indian National Congress,16124,lost,-98319
64,MURSHIDABAD,ABDUL MANNAN,All India Forward Bloc,9074,lost,-105369
64,MURSHIDABAD,MIR HASNAT ALI,Aam Janata Unnayan party,7899,lost,-106544
64,MURSHIDABAD,MILIA SAJEM,Socialist Unity Centre Of India (COMMUNIST),2247,lost,-112196
64,MURSHIDABAD,CHAMPA BIBI,Independent,1559,lost,-112884
64,MURSHIDABAD,PRALLAD MAHATO,Bahujan Samaj Party,1376,lost,-113067
64,MURSHIDABAD,SAHABUDDIN SK,Independent,448,lost,-113995
64,MURSHIDABAD,NOTA,None of the Above,1442,,-113001
65,NABAGRAM,DILIP SAHA,Bharatiya Janata Party,78739,won,+ 5919
65,NABAGRAM,PRONAB CHANDRA DAS,All India Trinamool Congress,72820,lost,-5919
65,NABAGRAM,HIRU HALDAR,Indian National Congress,50144,lost,-28595
65,NABAGRAM,PURNIMA DAS,Communist Party of India (Marxist),13057,lost,-65682
65,NABAGRAM,GOLAK MANDAL,Aam Janata Unnayan party,2838,lost,-75901
65,NABAGRAM,BARUN MANDAL,Socialist Unity Centre Of India (COMMUNIST),1375,lost,-77364
65,NABAGRAM,RAKHI CHOUDURY (MANDAL),Independent,724,lost,-78015
65,NABAGRAM,NOTA,None of the Above,1883,,-76856
66,KHARGRAM,MITALI MAL,Bharatiya Janata Party,77748,won,+ 9333
66,KHARGRAM,ASHIS MARJIT,All India Trinamool Congress,68415,lost,-9333
66,KHARGRAM,DHRUBAJOTI SAHA,Communist Party of India (Marxist),41944,lost,-35804
66,KHARGRAM,MANDER KANTI MONDAL,Indian National Congress,11009,lost,-66739
66,KHARGRAM,JADAB DAS,Aam Janata Unnayan party,876,lost,-76872
66,KHARGRAM,SAILESWAR MONDAL,Bahujan Samaj Party,687,lost,-77061
66,KHARGRAM,BHUBAN MOHAN SAHA,Independent,677,lost,-77071
66,KHARGRAM,RAJEN MEHANA,Independent,629,lost,-77119
66,KHARGRAM,MANIK KUMAR DAS,Independent,613,lost,-77135
66,KHARGRAM,NOTA,None of the Above,1879,,-75869
67,BURWAN,SUKHEN KUMAR BAGDI,Bharatiya Janata Party,91661,won,+ 22300
67,BURWAN,PROTIMA RAJAK,All India Trinamool Congress,69361,lost,-22300
67,BURWAN,SANJIT DAS,Indian National Congress,18440,lost,-73221
67,BURWAN,ANANDA DAS BAGDI,Revolutionary Socialist Party,2647,lost,-89014
67,BURWAN,RAKESH BAGDI,Independent,1275,lost,-90386
67,BURWAN,SUNITA KONAI,Independent,871,lost,-90790
67,BURWAN,PROSENJIT HAZRA,Bahujan Samaj Party,773,lost,-90888
67,BURWAN,SHASTHI CHARAN MAL,Aam Janata Unnayan party,731,lost,-90930
67,BURWAN,RADHIKANATH BAGDI,Independent,658,lost,-91003
67,BURWAN,NOTA,None of the Above,2500,,-89161
68,KANDI,GARGI DAS GHOSH,Bharatiya Janata Party,73355,won,+ 10335
68,KANDI,APURBA SARKAR (DAVID),All India Trinamool Congress,63020,lost,-10335
68,KANDI,SHAMIM RANA,Indian National Congress,31160,lost,-42195
68,KANDI,MESBAHUL ISLAM KHAN,All India Majlis-E-Ittehadul Muslimeen,22976,lost,-50379
68,KANDI,SYED AZIZUR HOSSAIN (NASHIM),Independent,1623,lost,-71732
68,KANDI,REJAUL KARIM,Communist Party of India,1530,lost,-71825
68,KANDI,RAJKUMAR MONDAL,Independent,873,lost,-72482
68,KANDI,ASHIS DAS,Independent,579,lost,-72776
68,KANDI,PRATAP DAS,Bahujan Samaj Party,516,lost,-72839
68,KANDI,GOKUL HAZRA,Independent,394,lost,-72961
68,KANDI,SRIKANTA DAS,Socialist Unity Centre Of India (COMMUNIST),237,lost,-73118
68,KANDI,ABHIJIT HALDER,Independent,153,lost,-73202
68,KANDI,SAKSHI GOPAL DEB,Amra Bangalee,112,lost,-73243
68,KANDI,NOTA,None of the Above,2932,,-70423
69,BHARATPUR,MUSTAFIJUR RAHAMAN (SUMAN),All India Trinamool Congress,90870,won,+ 30753
69,BHARATPUR,ANAMIKA GHOSH,Bharatiya Janata Party,60117,lost,-30753
69,BHARATPUR,AZHERUDDIN MD (SIZAR),Indian National Congress,51321,lost,-39549
69,BHARATPUR,NOWFAL MD SAFIULLA ( ALBERT),Revolutionary Socialist Party,3604,lost,-87266
69,BHARATPUR,ANOWAR HOSSAIN MOLLA,Independent,2204,lost,-88666
69,BHARATPUR,VIVEKANANDA GHOSH,Independent,1265,lost,-89605
69,BHARATPUR,JINNATUN NAHAR GULSAN BEGAM,Communist Party of India (Marxist-Leninist) (Liberation),1067,lost,-89803
69,BHARATPUR,ABU KOWSAR MALEK ISMILE,Independent,936,lost,-89934
69,BHARATPUR,AJAY RANO,Bahujan Samaj Party,896,lost,-89974
69,BHARATPUR,BADAN GHOSH,Amra Bangalee,524,lost,-90346
69,BHARATPUR,NOTA,None of the Above,1620,,-89250
70,REJINAGAR,HUMAYUN KABIR,Aam Janata Unnayan party,123536,won,+ 58876
70,REJINAGAR,BAPAN GHOSH,Bharatiya Janata Party,64660,lost,-58876
70,REJINAGAR,ATAUR RAHAMAN,All India Trinamool Congress,41718,lost,-81818
70,REJINAGAR,JILLU SK,Indian National Congress,4101,lost,-119435
70,REJINAGAR,BABAR ALI,Socialist Unity Centre Of India (COMMUNIST),1490,lost,-122046
70,REJINAGAR,TUSHAR KANTI CHATTERJEE,West Bengal Socialist Party,748,lost,-122788
70,REJINAGAR,AJARUL MOLLICK,Magadh Congress of India,709,lost,-122827
70,REJINAGAR,HUMAYUN KABIR,Independent,699,lost,-122837
70,REJINAGAR,NOTA,None of the Above,1634,,-121902
71,BELDANGA,BHARAT KUMAR JHAWAR,Bharatiya Janata Party,72872,won,+ 13208
71,BELDANGA,RABIUL ALAM CHOWDHURY,All India Trinamool Congress,59664,lost,-13208
71,BELDANGA,SHOAIB AHMED,Aam Janata Unnayan party,46709,lost,-26163
71,BELDANGA,MD SAHARUDDIN SK,Indian National Congress,39962,lost,-32910
71,BELDANGA,LOCKMAN HAKIM,Socialist Unity Centre Of India (COMMUNIST),3075,lost,-69797
71,BELDANGA,RAJESH GHOSH,Revolutionary Socialist Party,2859,lost,-70013
71,BELDANGA,MD ISMAIL,Bahujan Samaj Party,983,lost,-71889
71,BELDANGA,MD SAFIUR RAHMAN BISWAS,Independent,688,lost,-72184
71,BELDANGA,NOTA,None of the Above,1779,,-71093
72,BAHARAMPUR,SUBRATA MAITRA (KANCHAN),Bharatiya Janata Party,91088,won,+ 17548
72,BAHARAMPUR,ADHIR RANJAN CHOWDHURY,Indian National Congress,73540,lost,-17548
72,BAHARAMPUR,NARU GOPAL MUKHERJEE,All India Trinamool Congress,49586,lost,-41502
72,BAHARAMPUR,SUKBOR MOLLA,Aam Janata Unnayan party,4207,lost,-86881
72,BAHARAMPUR,SAHABUDDIN MALLIK,Independent,893,lost,-90195
72,BAHARAMPUR,SANTOSH BISWAS,Bahujan Samaj Party,766,lost,-90322
72,BAHARAMPUR,ABUL KASEM SK,Communist Party of India (Marxist-Leninist) (Liberation),679,lost,-90409
72,BAHARAMPUR,DILIP DAS,Socialist Unity Centre Of India (COMMUNIST),584,lost,-90504
72,BAHARAMPUR,PARITOSH KUNDU,Independent,493,lost,-90595
72,BAHARAMPUR,RIKI MAITRA,Independent,487,lost,-90601
72,BAHARAMPUR,UTPAL KUNDU,Independent,265,lost,-90823
72,BAHARAMPUR,RAJIB CHATTERJEE,Bhartiya Lokmat Rashtrawadi Party,169,lost,-90919
72,BAHARAMPUR,MAMATA BIBI,Justice and Development Party,152,lost,-90936
72,BAHARAMPUR,NOTA,None of the Above,1359,,-89729
73,HARIHARPARA,NIAMOT SHEIKH,All India Trinamool Congress,80338,won,+ 12665
73,HARIHARPARA,BIJOY SEKH,Aam Janata Unnayan party,67673,lost,-12665
73,HARIHARPARA,TANMOY BISWAS,Bharatiya Janata Party,32057,lost,-48281
73,HARIHARPARA,ZAMIR MOLLA,Communist Party of India (Marxist),30055,lost,-50283
73,HARIHARPARA,MOUSUMI BEGUM,Indian National Congress,13076,lost,-67262
73,HARIHARPARA,ABU SYEED KHANDOKER,Socialist Unity Centre Of India (COMMUNIST),3624,lost,-76714
73,HARIHARPARA,RIYAJUL ISLAM KHAN,Indian Union Muslim League,2725,lost,-77613
73,HARIHARPARA,MOUSUMI KHATUN,Independent,1960,lost,-78378
73,HARIHARPARA,BIJOY MONDAL,Independent,969,lost,-79369
73,HARIHARPARA,KRISHNA PROSAD BISWAS,Independent,813,lost,-79525
73,HARIHARPARA,RAFIKUL ISLAM,Independent,706,lost,-79632
73,HARIHARPARA,NOTA,None of the Above,1300,,-79038
74,NOWDA,HUMAYUN KABIR,Aam Janata Unnayan party,86463,won,+ 27943
74,NOWDA,RANA MANDAL,Bharatiya Janata Party,58520,lost,-27943
74,NOWDA,SAHINA MOMTAZ KHAN,All India Trinamool Congress,51867,lost,-34596
74,NOWDA,MATIUR RAHAMAN,Indian National Congress,16009,lost,-70454
74,NOWDA,ABDUS SALAM,Socialist Unity Centre Of India (COMMUNIST),2055,lost,-84408
74,NOWDA,HABIBUR RAHAMAN MONDAL(SOHEL),Revolutionary Socialist Party,1800,lost,-84663
74,NOWDA,HUMAYUN KABIR SEKH,Independent,1305,lost,-85158
74,NOWDA,SURAJ SK,Bhartiya Lokmat Rashtrawadi Party,971,lost,-85492
74,NOWDA,RAMIJ RAJA BISWAS,Independent,867,lost,-85596
74,NOWDA,MOTIUR RAHAMAN MUNSHI,Independent,625,lost,-85838
74,NOWDA,NOTA,None of the Above,1118,,-85345
75,DOMKAL,MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),107882,won,+ 16296
75,DOMKAL,HUMAYUN KABIR,All India Trinamool Congress,91586,lost,-16296
75,DOMKAL,BEGAM SAHANAJ,Indian National Congress,30453,lost,-77429
75,DOMKAL,NANDADULAL PAL,Bharatiya Janata Party,13180,lost,-94702
75,DOMKAL,MD. MOSHARAF HOSSAIN,Aam Janata Unnayan party,7392,lost,-100490
75,DOMKAL,MUSTAFIJUR RAHAMAN,Independent,1373,lost,-106509
75,DOMKAL,AYESHA SIDDIQUA,Socialist Unity Centre Of India (COMMUNIST),1191,lost,-106691
75,DOMKAL,SAHANAJ BEGAM,Independent,994,lost,-106888
75,DOMKAL,SOYAIB ANSARY,Independent,810,lost,-107072
75,DOMKAL,MUSTAK AHMED,Independent,500,lost,-107382
75,DOMKAL,KALU MONDAL,Magadh Congress of India,483,lost,-107399
75,DOMKAL,MD SALAUDDIN,Indian National League,475,lost,-107407
75,DOMKAL,SAFAR ALI BISWAS(ROBI),Bhartiya Lokmat Rashtrawadi Party,264,lost,-107618
75,DOMKAL,NOTA,None of the Above,1207,,-106675
76,JALANGI,BABAR ALI,All India Trinamool Congress,88684,won,+ 21516
76,JALANGI,IANUS ALI SARKAR,Communist Party of India (Marxist),67168,lost,-21516
76,JALANGI,NABA KUMAR SARKAR,Bharatiya Janata Party,51693,lost,-36991
76,JALANGI,ABDUR RAZZAK MOLLA,Indian National Congress,36430,lost,-52254
76,JALANGI,HABIBUR RAHAMAN,Aam Janata Unnayan party,4753,lost,-83931
76,JALANGI,SUBIR KUMAR SARKAR,Amra Bangalee,983,lost,-87701
76,JALANGI,MD HASIM BISWAS,Independent,860,lost,-87824
76,JALANGI,ASADUL SK,Indian National League,721,lost,-87963
76,JALANGI,ENAMUL HAQUE,Socialist Unity Centre Of India (COMMUNIST),669,lost,-88015
76,JALANGI,NOTA,None of the Above,1345,,-87339
77,KARIMPUR,SAMARENDRANATH GHOSH,Bharatiya Janata Party,105234,won,+ 10185
77,KARIMPUR,SOHAM CHAKRABORTY,All India Trinamool Congress,95049,lost,-10185
77,KARIMPUR,PRABHAS MAJUMDAR,Communist Party of India (Marxist),19334,lost,-85900
77,KARIMPUR,POOJA PARAJITA ROY CHOUDHURY,Indian National Congress,10854,lost,-94380
77,KARIMPUR,SAMSUN NAHAR KHATUN SEKH,Aam Janata Unnayan party,5733,lost,-99501
77,KARIMPUR,DHANAPATI MONDAL,Socialist Unity Centre Of India (COMMUNIST),1823,lost,-103411
77,KARIMPUR,JITENDRANATH HALDER,Bahujan Samaj Party,728,lost,-104506
77,KARIMPUR,SAMAR KUMAR GHOSH,Independent,526,lost,-104708
77,KARIMPUR,SUBRATA DAS,Independent,495,lost,-104739
77,KARIMPUR,NOTA,None of the Above,1140,,-104094
78,TEHATTA,SUBRATA KABIRAJ,Bharatiya Janata Party,112138,won,+ 28253
78,TEHATTA,DILIP KUMAR PODDAR,All India Trinamool Congress,83885,lost,-28253
78,TEHATTA,SUBODH CHANDRA BISWAS,Communist Party of India (Marxist),25629,lost,-86509
78,TEHATTA,JAMAT ALI MANDAL,Aam Janata Unnayan party,5134,lost,-107004
78,TEHATTA,JYOTIRMOY SARKAR,Indian National Congress,2383,lost,-109755
78,TEHATTA,JUDHISTHIR SARKAR,Independent,1032,lost,-111106
78,TEHATTA,Najbul Ansary,Socialist Unity Centre Of India (COMMUNIST),898,lost,-111240
78,TEHATTA,ARABINDA BISWAS,Bahujan Samaj Party,599,lost,-111539
78,TEHATTA,SAMAR KUMAR BISWAS,Independent,578,lost,-111560
78,TEHATTA,MILAN SARKAR,Independent,390,lost,-111748
78,TEHATTA,NOTA,None of the Above,922,,-111216
79,PALASHIPARA,RUKBANUR RAHMAN,All India Trinamool Congress,89241,won,+ 11454
79,PALASHIPARA,ANIMA DUTTA,Bharatiya Janata Party,77787,lost,-11454
79,PALASHIPARA,MD SAMSUR ALI MALLICK,All India Secular Front,34584,lost,-54657
79,PALASHIPARA,HAYDAR ALI MONDAL,Aam Janata Unnayan party,3399,lost,-85842
79,PALASHIPARA,HAMIDUL HAQUE,Indian National Congress,3021,lost,-86220
79,PALASHIPARA,ANARUL HAQUE SK,Socialist Unity Centre Of India (COMMUNIST),2224,lost,-87017
79,PALASHIPARA,FAJLUR RAHAMAN SEKH,Bahujan Samaj Party,1045,lost,-88196
79,PALASHIPARA,SWAPAN MONDAL,Amra Bangalee,747,lost,-88494
79,PALASHIPARA,ABDUR ROUF,Independent,554,lost,-88687
79,PALASHIPARA,NOTA,None of the Above,2048,,-87193
80,KALIGANJ,ALIFA AHMED,All India Trinamool Congress,89292,won,+ 10172
80,KALIGANJ,BAPAN GHOSH,Bharatiya Janata Party,79120,lost,-10172
80,KALIGANJ,SABINA IYASMIN SEKH,Communist Party of India (Marxist),22806,lost,-66486
80,KALIGANJ,KECHHABUDDIN SEKH,Aam Janata Unnayan party,16222,lost,-73070
80,KALIGANJ,SHAIKH KABIL UDDIN,Indian National Congress,4267,lost,-85025
80,KALIGANJ,SUMIT GHOSH,Independent,1530,lost,-87762
80,KALIGANJ,MOHIUDDIN MONDAL,Socialist Unity Centre Of India (COMMUNIST),1406,lost,-87886
80,KALIGANJ,ARIKH AKHER,Indian Union Muslim League,1167,lost,-88125
80,KALIGANJ,BAPAN GHOSH,Independent,561,lost,-88731
80,KALIGANJ,SUBRATA SHEKHAR BISWAS,Bahujan Samaj Party,547,lost,-88745
80,KALIGANJ,NOTA,None of the Above,2105,,-87187
81,NAKASHIPARA,SANTANU DEY,Bharatiya Janata Party,100600,won,+ 17327
81,NAKASHIPARA,KALLOL KHAN,All India Trinamool Congress,83273,lost,-17327
81,NAKASHIPARA,SUKLA SAHA,Communist Party of India (Marxist),13703,lost,-86897
81,NAKASHIPARA,TAHIR SEKH,Indian National Congress,3030,lost,-97570
81,NAKASHIPARA,JEBUNNESSA MUNSHI,Aam Janata Unnayan party,1276,lost,-99324
81,NAKASHIPARA,MASIKUR RAHAMAN KHAN,Socialist Unity Centre Of India (COMMUNIST),844,lost,-99756
81,NAKASHIPARA,BIMAL ROY,Bahujan Samaj Party,629,lost,-99971
81,NAKASHIPARA,HARIDAS DEY,Independent,419,lost,-100181
81,NAKASHIPARA,SWADHIN CHOUDHURY,Independent,273,lost,-100327
81,NAKASHIPARA,NOTA,None of the Above,1873,,-98727
82,CHAPRA,JEBER SEKH,All India Trinamool Congress,97085,won,+ 30780
82,CHAPRA,SAIKAT SARKAR,Bharatiya Janata Party,66305,lost,-30780
82,CHAPRA,JAKIR  HOSSAIN MONDAL,All India Secular Front,38437,lost,-58648
82,CHAPRA,ASIF KHAN,Indian National Congress,2015,lost,-95070
82,CHAPRA,SHUBHANKAR RUDRA,Independent,1836,lost,-95249
82,CHAPRA,SUDHANGSHU SARKAR,Bahujan Samaj Party,1039,lost,-96046
82,CHAPRA,MOZAMMEL HOSSAIN MONDAL (BALA),Socialist Unity Centre Of India (COMMUNIST),1016,lost,-96069
82,CHAPRA,SUKLA SAHA (MUKTA),Aam Janata Unnayan party,840,lost,-96245
82,CHAPRA,UTPAL GHOSH,Independent,639,lost,-96446
82,CHAPRA,NOTA,None of the Above,1550,,-95535
83,KRISHNANAGAR UTTAR,TARAK NATH CHATTERJEE,Bharatiya Janata Party,133211,won,+ 78361
83,KRISHNANAGAR UTTAR,SOMNATH DUTTA,All India Trinamool Congress,54850,lost,-78361
83,KRISHNANAGAR UTTAR,ADWAITA BISWAS,Communist Party of India (Marxist),8336,lost,-124875
83,KRISHNANAGAR UTTAR,ARGHYA GON,Indian National Congress,1516,lost,-131695
83,KRISHNANAGAR UTTAR,BIDHAN HALDER,Bahujan Samaj Party,1358,lost,-131853
83,KRISHNANAGAR UTTAR,JOYDIP CHAUDHURI,Socialist Unity Centre Of India (COMMUNIST),1284,lost,-131927
83,KRISHNANAGAR UTTAR,AMITAVA NANDI,Independent,310,lost,-132901
83,KRISHNANAGAR UTTAR,NOTA,None of the Above,1192,,-132019
84,NABADWIP,SRUTISEKHAR GOSWAMI,Bharatiya Janata Party,108631,won,+ 21444
84,NABADWIP,PUNDARIKAKSHYA SAHA,All India Trinamool Congress,87187,lost,-21444
84,NABADWIP,SWARNENDU SINHA,Communist Party of India (Marxist),15612,lost,-93019
84,NABADWIP,SAMIR SAHA,Indian National Congress,1464,lost,-107167
84,NABADWIP,SUBHANKAR HALDAR,Independent,1396,lost,-107235
84,NABADWIP,RAGHUNATH DAS,Independent,1089,lost,-107542
84,NABADWIP,TAPAS DAS,Bahujan Samaj Party,780,lost,-107851
84,NABADWIP,NITAI RARHI,Independent,433,lost,-108198
84,NABADWIP,BAPPA SK,Aam Janata Unnayan party,349,lost,-108282
84,NABADWIP,NANIGOPAL DEBNATH,Independent,224,lost,-108407
84,NABADWIP,NOTA,None of the Above,1016,,-107615
85,KRISHNANAGAR DAKSHIN,SADHAN GHOSH,Bharatiya Janata Party,102862,won,+ 27801
85,KRISHNANAGAR DAKSHIN,UJJAL BISWAS,All India Trinamool Congress,75061,lost,-27801
85,KRISHNANAGAR DAKSHIN,LABANI JANGI,Communist Party of India (Marxist-Leninist) (Liberation),9468,lost,-93394
85,KRISHNANAGAR DAKSHIN,ABDUR RAHIM SHAIKH,Indian National Congress,3219,lost,-99643
85,KRISHNANAGAR DAKSHIN,SANJU GHOSH,Independent,1508,lost,-101354
85,KRISHNANAGAR DAKSHIN,BOMKESH GHOSH,Independent,1359,lost,-101503
85,KRISHNANAGAR DAKSHIN,KEYA BISWAS,Independent,998,lost,-101864
85,KRISHNANAGAR DAKSHIN,SUSANTA KR MONDAL,Bahujan Samaj Party,717,lost,-102145
85,KRISHNANAGAR DAKSHIN,EKRAMUL SEKH,Independent,297,lost,-102565
85,KRISHNANAGAR DAKSHIN,PRABIR DEY,Socialist Unity Centre Of India (COMMUNIST),250,lost,-102612
85,KRISHNANAGAR DAKSHIN,ANANDA MODAK,Independent,226,lost,-102636
85,KRISHNANAGAR DAKSHIN,NOTA,None of the Above,1119,,-101743
86,SANTIPUR,SWAPAN KUMAR DAS,Bharatiya Janata Party,117941,won,+ 45376
86,SANTIPUR,BRAJAKISHORE GOSWAMI,All India Trinamool Congress,72565,lost,-45376
86,SANTIPUR,SOUMEN MAHATO,Communist Party of India (Marxist),11533,lost,-106408
86,SANTIPUR,ARINDAM BHATTACHARYA,Independent,7216,lost,-110725
86,SANTIPUR,ALOK CHATTERJEE,Indian National Congress,1365,lost,-116576
86,SANTIPUR,SHYAMAL DAS,Independent,989,lost,-116952
86,SANTIPUR,SOURAV BISWAS,Independent,634,lost,-117307
86,SANTIPUR,TUHIN INDRA,Independent,624,lost,-117317
86,SANTIPUR,ABU HENA MOSTAFA KAMAL,Aam Janata Unnayan party,610,lost,-117331
86,SANTIPUR,PROFULLA KUMAR ROY,Bahujan Samaj Party,566,lost,-117375
86,SANTIPUR,NOTA,None of the Above,930,,-117011
87,RANAGHAT UTTAR PASCHIM,PARTHA SARATHI CHATTERJEE(BABU),Bharatiya Janata Party,129046,won,+ 57551
87,RANAGHAT UTTAR PASCHIM,TAPAS KUMAR GHOSH,All India Trinamool Congress,71495,lost,-57551
87,RANAGHAT UTTAR PASCHIM,DEBASISH  CHAKRABORTY(DEBU),Communist Party of India (Marxist),10280,lost,-118766
87,RANAGHAT UTTAR PASCHIM,NABAKUMAR MONDAL,Indian National Congress,1610,lost,-127436
87,RANAGHAT UTTAR PASCHIM,PRADIP SARKAR,Independent,750,lost,-128296
87,RANAGHAT UTTAR PASCHIM,SANJAY MISTRY,Bahujan Samaj Party,665,lost,-128381
87,RANAGHAT UTTAR PASCHIM,GOPAL BISWAS,Independent,408,lost,-128638
87,RANAGHAT UTTAR PASCHIM,BHABADEB BISWAS,Independent,396,lost,-128650
87,RANAGHAT UTTAR PASCHIM,SHUBHANKAR DAS,Independent,374,lost,-128672
87,RANAGHAT UTTAR PASCHIM,APARNA GUHA,Socialist Unity Centre Of India (COMMUNIST),269,lost,-128777
87,RANAGHAT UTTAR PASCHIM,NOTA,None of the Above,1842,,-127204
88,KRISHNAGANJ,SUKANTA BISWAS,Bharatiya Janata Party,139838,won,+ 60899
88,KRISHNAGANJ,SAMIR KUMAR PODDAR,All India Trinamool Congress,78939,lost,-60899
88,KRISHNAGANJ,ARCHANA BISWAS,Communist Party of India (Marxist),6833,lost,-133005
88,KRISHNAGANJ,MILAN KUMAR MANDAL,Independent,1229,lost,-138609
88,KRISHNAGANJ,SANKAR SARKAR,Indian National Congress,1085,lost,-138753
88,KRISHNAGANJ,CHAINA BISWAS BALA,Independent,910,lost,-138928
88,KRISHNAGANJ,SANTOSH KUMAR ADHIKARY,Guruchand Sena Dal,586,lost,-139252
88,KRISHNAGANJ,ASIT BARAN BISWAS,Socialist Unity Centre Of India (COMMUNIST),561,lost,-139277
88,KRISHNAGANJ,DULAL BISWAS,Bahujan Samaj Party,523,lost,-139315
88,KRISHNAGANJ,ANIMESH BISWAS,Independent,458,lost,-139380
88,KRISHNAGANJ,SUBIR BISWAS,Independent,363,lost,-139475
88,KRISHNAGANJ,RATHIN BARAI,Independent,219,lost,-139619
88,KRISHNAGANJ,NOTA,None of the Above,923,,-138915
89,RANAGHAT UTTAR PURBA,ASHIM BISWAS,Bharatiya Janata Party,126235,won,+ 51743
89,RANAGHAT UTTAR PURBA,BARNALI DEY ROY,All India Trinamool Congress,74492,lost,-51743
89,RANAGHAT UTTAR PURBA,MRINAL BISWAS (MINI),Communist Party of India (Marxist),4713,lost,-121522
89,RANAGHAT UTTAR PURBA,BARNALI BISWAS,Independent,1167,lost,-125068
89,RANAGHAT UTTAR PURBA,BINDU BISWAS,Bahujan Samaj Party,976,lost,-125259
89,RANAGHAT UTTAR PURBA,NITYA GOPAL MONDAL,Indian National Congress,962,lost,-125273
89,RANAGHAT UTTAR PURBA,MADHAB DAS,Independent,324,lost,-125911
89,RANAGHAT UTTAR PURBA,GOBINDA PODDER,Independent,247,lost,-125988
89,RANAGHAT UTTAR PURBA,ASIM BISWAS,Independent,192,lost,-126043
89,RANAGHAT UTTAR PURBA,ASIM BISWAS,Independent,159,lost,-126076
89,RANAGHAT UTTAR PURBA,JAGADISH MANDAL (JOGO),Socialist Unity Centre Of India (COMMUNIST),150,lost,-126085
89,RANAGHAT UTTAR PURBA,NOTA,None of the Above,1779,,-124456
90,RANAGHAT DAKSHIN,ASHIM KUMAR BISWAS,Bharatiya Janata Party,140010,won,+ 64464
90,RANAGHAT DAKSHIN,SOUGATA KUMAR BURMAN,All India Trinamool Congress,75546,lost,-64464
90,RANAGHAT DAKSHIN,ARINDAM BISWAS,Communist Party of India (Marxist),10714,lost,-129296
90,RANAGHAT DAKSHIN,RITA PAUL DAS,Indian National Congress,2067,lost,-137943
90,RANAGHAT DAKSHIN,BIRENDRANATH PODDER,Bahujan Samaj Party,1181,lost,-138829
90,RANAGHAT DAKSHIN,SUBHAM MONDAL,Independent,768,lost,-139242
90,RANAGHAT DAKSHIN,NANI GOPAL MISTRY,Socialist Unity Centre Of India (COMMUNIST),703,lost,-139307
90,RANAGHAT DAKSHIN,MANMATHA BISWAS,Independent,473,lost,-139537
90,RANAGHAT DAKSHIN,NOTA,None of the Above,1223,,-138787
91,CHAKDAHA,BANKIM CHANDRA GHOSH,Bharatiya Janata Party,115433,won,+ 36945
91,CHAKDAHA,SUBHANKAR SINGHA (JISHU),All India Trinamool Congress,78488,lost,-36945
91,CHAKDAHA,NARAYAN DAS GUPTA,Communist Party of India (Marxist),11086,lost,-104347
91,CHAKDAHA,MALAY SAHA,Indian National Congress,1504,lost,-113929
91,CHAKDAHA,UTTAM KUMAR DAS,Independent,951,lost,-114482
91,CHAKDAHA,SAUMAJYOTI MUKHERJEE,Independent,655,lost,-114778
91,CHAKDAHA,ARCHANA BHATTACHARJEE,Socialist Unity Centre Of India (COMMUNIST),532,lost,-114901
91,CHAKDAHA,BIDHAN GHOSH,Bharatiya Nyay-Adhikar Raksha Party,350,lost,-115083
91,CHAKDAHA,SHARMA BAPPA,Independent,322,lost,-115111
